PERMNO,date,TICKER,COMNAM,CUSIP,BIDLO,ASKHI,PRC,VOL,BID,ASK,SHROUT,CFACPR
84415,20140731,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,3.93010,4.13000,4.13000,2036,4.00000,4.20000,11506,1
84415,20140829,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,3.61000,4.05000,3.88000,1018,3.85000,3.94000,11513,1
84415,20140930,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,3.55010,3.81000,-3.59500,130,3.50000,3.69000,11621,1
84415,20141031,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,3.14000,3.68000,3.63600,397,3.62000,3.69000,11621,1
84415,20141128,BPHX,BLUEPHOENIX SOLUTIONS LTD,M7037810,3.40000,3.68000,3.49000,685,3.40000,3.49000,11621,1
84415,20141231,MDSY,BLUEPHOENIX SOLUTIONS LTD,M7037810,3.20000,3.75000,3.46000,834,3.46000,3.55000,17844,1
84415,20150130,MDSY,MODSYS INTERNATIONAL LTD,M7037810,3.05000,3.46000,-3.07500,223,2.95000,3.20000,17844,1
84415,20150227,MDSY,MODSYS INTERNATIONAL LTD,M7037810,2.60000,-3.12500,2.96000,372,2.55000,3.00000,17844,1
84415,20150331,MDSY,MODSYS INTERNATIONAL LTD,M7037810,2.20000,2.99000,2.85540,2031,2.85000,3.00000,17897,1
84415,20150430,MDSY,MODSYS INTERNATIONAL LTD,M7037810,2.26010,3.10000,-2.62000,157,2.29000,2.95000,17897,1
84415,20150529,MDSY,MODSYS INTERNATIONAL LTD,M7037810,2.17000,2.90000,2.20000,384,2.12000,2.25000,17897,1
84415,20150630,MDSY,MODSYS INTERNATIONAL LTD,M7037810,1.78000,2.13000,-1.83000,163,1.80000,1.86000,17926,1
85914,20000929,BBY,BEST BUY COMPANY INC,08651610,61.00000,70.37500,63.62500,322937,63.50000,63.68750,206755,2.25
85914,20001031,BBY,BEST BUY COMPANY INC,08651610,40.12500,62.50000,50.18750,597647,49.50000,50.87500,206755,2.25
85914,20001130,BBY,BEST BUY COMPANY INC,08651610,25.75000,54.37500,25.75000,765057,,,206755,2.25
85914,20001229,BBY,BEST BUY COMPANY INC,08651610,22.31250,30.62500,29.56250,658831,,,206755,2.25
85914,20010131,BBY,BEST BUY COMPANY INC,08651610,28.00000,49.80000,49.80000,533040,49.00000,50.70000,207759,2.25
85914,20010228,BBY,BEST BUY COMPANY INC,08651610,38.85000,48.08000,40.96000,428417,,,207759,2.25
85914,20010330,BBY,BEST BUY COMPANY INC,08651610,35.89000,47.00000,35.96000,623388,,,207759,2.25
85914,20010430,BBY,BEST BUY COMPANY INC,08651610,36.80000,55.59000,55.05000,693259,,,207759,2.25
85914,20010531,BBY,BEST BUY COMPANY INC,08651610,51.50000,62.11000,53.15000,493306,53.04000,53.26000,209382,2.25
85914,20010629,BBY,BEST BUY COMPANY INC,08651610,54.00000,63.52000,63.52000,482933,63.53000,63.66000,209382,2.25
85914,20010731,BBY,BEST BUY COMPANY INC,08651610,64.37000,69.42000,66.96000,504007,66.89000,67.04000,209988,2.25
85914,20010831,BBY,BEST BUY COMPANY INC,08651610,57.80000,67.78000,58.98000,642345,58.86000,58.99000,209988,2.25
85914,20010928,BBY,BEST BUY COMPANY INC,08651610,42.39000,60.29000,45.45000,783718,45.21000,45.55000,209988,2.25
85914,20011031,BBY,BEST BUY COMPANY INC,08651610,43.35000,55.98000,54.90000,820283,54.79000,55.00000,210860,2.25
85914,20011130,BBY,BEST BUY COMPANY INC,08651610,57.60000,71.39000,71.39000,732660,71.22000,71.77000,210860,2.25
85914,20011231,BBY,BEST BUY COMPANY INC,08651610,66.05000,74.63000,74.48000,651610,74.43000,74.75000,210860,2.25
